Date,Total,Income_per_capital,Installed_capacity,Mean_Air_Temp.,Max_Air_Temp.,Min_Air_Temp.
2010.7.1,35551,22086.95292,"76,078",25.8,32.3,21
2010.8.1,37265,22086.95292,"76,078",26.5,33.8,19.9
2010.9.1,36254,22086.95292,"76,078",21.8,31.4,8.4
2010.10.1,33555,22086.95292,"76,078",14.5,24.2,0.7
2010.11.1,36106,22086.95292,"76,078",6.5,17.4,-5.2
2010.12.1,39292,22086.95292,"76,078",-1.3,13.5,-15.1
2011.1.1,43117,24079.78852,"79,342",-7.2,0.3,-17.8
2011.2.1,39845,24079.78852,"79,342",1.2,13.2,-9.2
2011.3.1,38448,24079.78852,"79,342",3.6,16.8,-5.5
2011.4.1,37727,24079.78852,"79,342",10.7,19,4.3
2011.5.1,35466,24079.78852,"79,342",17.9,31.2,8.5
2011.6.1,35760,24079.78852,"79,342",22,32.9,14.4
2011.7.1,37297,24079.78852,"79,342",24.6,34.1,18.9
2011.8.1,38374,24079.78852,"79,342",25.8,34.1,18.1
2011.9.1,36871,24079.78852,"79,342",21.8,32.4,10.3
2011.10.1,35615,24079.78852,"79,342",14.2,23.4,3.1
2011.11.1,36880,24079.78852,"79,342",10.7,25.9,-5.5
2011.12.1,39670,24079.78852,"79,342",-0.9,9.1,-10.6
2012.1.1,42487,24358.78218,"81,806",-2.8,8.4,-12.2
2012.2.1,41932,24358.78218,"81,806",-2,12.1,-17.1
2012.3.1,40324,24358.78218,"81,806",5.1,16.2,-5.7
2012.4.1,38496,24358.78218,"81,806",12.3,29.4,0.6
2012.5.1,36389,24358.78218,"81,806",19.7,29.3,12
2012.6.1,36611,24358.78218,"81,806",24.1,33.5,16.3
2012.7.1,38149,24358.78218,"81,806",25.4,33.2,18.5
2012.8.1,39902,24358.78218,"81,806",27.1,36.7,18.7
2012.9.1,37881,24358.78218,"81,806",21,29.5,12
2012.10.1,34907,24358.78218,"81,806",15.3,26,2.8
2012.11.1,37931,24358.78218,"81,806",5.5,15.7,-3
2012.12.1,41583,24358.78218,"81,806",-4.1,8.3,-14.5
2013.1.1,44491,25890.01867,"86,969",-3.4,11.5,-16.4
2013.2.1,41012,25890.01867,"86,969",-1.2,13.9,-15.8
2013.3.1,39521,25890.01867,"86,969",5.1,23.8,-4.4
2013.4.1,39007,25890.01867,"86,969",10,21.6,1.3
2013.5.1,37460,25890.01867,"86,969",18.2,31.8,7.9
2013.6.1,37366,25890.01867,"86,969",24.4,32.6,16.3
2013.7.1,39172,25890.01867,"86,969",25.5,31.3,20.5
2013.8.1,40647,25890.01867,"86,969",27.7,33.9,21.1
2013.9.1,38782,25890.01867,"86,969",21.8,31.1,10.9
2013.10.1,36965,25890.01867,"86,969",15.8,28.1,4.3
2013.11.1,38533,25890.01867,"86,969",6.2,20.7,-6.4
2013.12.1,41892,25890.01867,"86,969",-0.2,11,-9.8
2014.1.1,43775,27811.36638,"93,216",-0.7,8.2,-10.5
2014.2.1,41222,27811.36638,"93,216",1.9,16.4,-10.5
2014.3.1,40638,27811.36638,"93,216",7.9,23.8,-4.6
2014.4.1,39267,27811.36638,"93,216",14,26.2,2.3
2014.5.1,37391,27811.36638,"93,216",18.9,33.3,6.8
2014.6.1,37855,27811.36638,"93,216",23.1,31.1,17.3
2014.7.1,40011,27811.36638,"93,216",26.1,34.4,19.1
2014.8.1,40048,27811.36638,"93,216",25.2,35.8,18.3
2014.9.1,38174,27811.36638,"93,216",22.1,31.3,14.9
2014.10.1,37829,27811.36638,"93,216",15.6,29,2.7
2014.11.1,38744,27811.36638,"93,216",9,22.9,-3.1
2014.12.1,42639,27811.36638,"93,216",-2.9,7.9,-13.2
2015.1.1,45443,27105.07623,"97,649",-0.9,9,-9.8
2015.2.1,41825,27105.07623,"97,649",1,13,-13
2015.3.1,40877,27105.07623,"97,649",6.3,21.9,-6.9
2015.4.1,40078,27105.07623,"97,649",13.3,28.3,3.5
2015.5.1,37890,27105.07623,"97,649",18.9,32.2,8.3
2015.6.1,38345,27105.07623,"97,649",23.6,34.9,15.6
2015.7.1,39394,27105.07623,"97,649",25.8,36,18.2
2015.8.1,41945,27105.07623,"97,649",26.3,34.4,18.9
2015.9.1,39719,27105.07623,"97,649",22.4,31,14.2
2015.10.1,37465,27105.07623,"97,649",15.5,26.6,1.1
2015.11.1,38878,27105.07623,"97,649",8.9,21,-7.3
2015.12.1,41795,27105.07623,"97,649",1.6,12.2,-9.5
2016.1.1,44651,27608.24743,"105,866",-3.2,9.5,-18
2016.2.1,43570,27608.24743,"105,866",0.2,14.4,-10
2016.3.1,42245,27608.24743,"105,866",7,21.4,-7.5
2016.4.1,40123,27608.24743,"105,866",14.1,29.6,5.1
2016.5.1,38236,27608.24743,"105,866",19.6,31.9,8.9
2016.6.1,39668,27608.24743,"105,866",23.6,32.2,17.1
2016.7.1,40590,27608.24743,"105,866",26.2,34.1,19.8
2016.8.1,44412,27608.24743,"105,866",28,36.6,16.1
2016.9.1,41204,27608.24743,"105,866",23.1,31.1,14.3
2016.10.1,38549,27608.24743,"105,866",16.1,29,0.7
2016.11.1,40256,27608.24743,"105,866",6.8,18.6,-6.2
2016.12.1,43534,27608.24743,"105,866",1.2,13.6,-9.8
2017.1.1,45197,29742.83886,"116,908",-1.8,11.4,-12.6
2017.2.1,44422,29742.83886,"116,908",-0.2,12.3,-9.3
2017.3.1,42559,29742.83886,"116,908",6.3,18.9,-5.3
2017.4.1,40811,29742.83886,"116,908",13.9,27.8,3.1
2017.5.1,38744,29742.83886,"116,908",19.5,30.3,10
2017.6.1,39673,29742.83886,"116,908",23.3,34.1,14.5
2017.7.1,43208,29742.83886,"116,908",26.9,35.4,21.9
2017.8.1,45354,29742.83886,"116,908",25.9,35.3,16.1
2017.9.1,42336,29742.83886,"116,908",22.1,31.4,11.2
2017.10.1,38369,29742.83886,"116,908",16.4,29.4,2.5
2017.11.1,41293,29742.83886,"116,908",5.6,18.4,-6.6
2017.12.1,45781,29742.83886,"116,908",-1.9,8.7,-12.3
2018.1.1,48362,31362.75147,"116,908",-4,8.7,-17.8
2018.2.1,46750,31362.75147,"116,908",-1.6,10.4,-13.4
2018.3.1,42936,31362.75147,"116,908",8.1,22.1,-6.7
2018.4.1,42033,31362.75147,"116,908",13,26.3,0.1
2018.5.1,40531,31362.75147,"116,908",18.2,29.6,6.9
2018.6.1,41046,31362.75147,"116,908",23.1,32.9,16.3
2018.7.1,44030,31362.75147,"116,908",27.8,38.3,17.7
2018.8.1,49532,31362.75147,"116,908",28.8,39.6,20.2
2018.9.1,43729,31362.75147,"116,908",21.5,30.9,10.8
2018.10.1,39978,31362.75147,"116,908",13.1,25.6,0.7
2018.11.1,41905,31362.75147,"116,908",7.8,19.4,-3.1
2018.12.1,45318,31362.75147,"116,908",-0.6,13.5,-14.4
